General AI (AGI),Narrow AI,Self-awareness,Theory of Mind,logic for data generation based on keyword
0.16046626157476387,0.9492581830344655,0.5085520151329979,0.03831500325423498,0.8979986228876312
0.6236460656783833,0.6779316651473632,0.7932209091906962,0.6878405737910496,0.3117977791585278
0.6405907111125548,0.9312024696445084,0.940750711391969,0.2682734341282142,0.24826456276326614
0.18904131319335338,0.8542886784322944,0.2218712144605479,0.13952689804923574,0.48288812243020957
0.1874065317454882,0.02141642097806066,0.36148856289640685,0.2092782107825282,0.35859056247522875
0.6940752493825754,0.7014937840768908,0.09647184555850379,0.1365355130314969,0.2026524249842429
0.7890890187121616,0.2579469750021241,0.9653276796068326,0.6479286174131867,0.6482003897580721
0.05870048768357054,0.21335269880163024,0.8981569988481395,0.0852983825161315,0.5589028739949714
0.03250581566071896,0.5504929001507289,0.8133285120933719,0.48322300912646754,0.6559994967754372
0.022276414203431516,0.10701737463316009,0.7410448379339084,0.5844872537576947,0.5917090771494935
